,hhno,id,pagey,pdiary,pgend,pno,ppaidprk,pproxy,pptyp,psaudist,psautime,psexpfac,pspcl,pstaz,pstyp,ptpass,puwarrp,puwdepp,puwmode,pwaudist,pwautime,pwpcl,pwtaz,pwtyp,year
8901,42496,,1,1,Male,3,-1,No Proxy,Child Age 0-4,8.7,30.57,372.3,153049,1606,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8902,42520,,28,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,429.57,0,-1,Part-Time Student,1,,,,19.02,45.45,59027,521,Paid Full-Time Worker,2006
8903,42520,,32,1,Female,2,-1,,Non-Working Adult Age <65,-1.0,-1.0,429.57,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8904,42520,,2,1,Male,3,-1,,Child Age 0-4,-1.0,-1.0,429.57,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8905,42523,,36,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,278.35,-1,-1,Not a Student,1,After 9 am,Between 6 and 6:30 pm,Bike,13.18,42.38,175226,1615,Paid Full-Time Worker,2006
8906,42523,,31,1,Female,2,-1,,Non-Working Adult Age <65,-1.0,-1.0,278.35,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8907,42546,,73,1,Female,1,-1,,Full-Time Worker,-1.0,-1.0,352.02,-1,-1,Not a Student,0,,,Drive Alone,0.34,3.36,257515,1558,Paid Full-Time Worker,2006
8908,42553,,78,1,Male,1,-1,,Non-Working Adult Age 65+,-1.0,-1.0,270.93,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8909,42553,,75,1,Female,2,-1,No Proxy,Non-Working Adult Age 65+,-1.0,-1.0,270.93,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8910,42558,,82,1,Female,1,-1,,Non-Working Adult Age 65+,-1.0,-1.0,320.41,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8911,42568,,59,1,Female,1,-1,,Non-Working Adult Age <65,-1.0,-1.0,678.34,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8912,42568,,68,1,Male,2,-1,No Proxy,Non-Working Adult Age 65+,-1.0,-1.0,678.34,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8913,42577,,50,1,Female,1,-1,,Full-Time Worker,-1.0,-1.0,273.33,-1,-1,Not a Student,0,Between 7:30 and 8 am,Between 4 and 4:30 pm,Drive Alone,13.54,48.01,255537,1018,Paid Full-Time Worker,2006
8914,42577,,59,1,Male,2,-1,No Proxy,Part-Time Worker,-1.0,-1.0,273.33,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Paid Part-Time Worker,2006
8915,42578,,39,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,219.23,-1,-1,Not a Student,0,,,None 4+ Days/Week,4.04,12.75,71761,1517,Paid Full-Time Worker,2006
8916,42584,,55,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,237.22,-1,-1,Not a Student,0,Between 7:30 and 8 am,Between 5 and 5:30 pm,Walk,0.29,5.16,123204,945,Paid Full-Time Worker,2006
8917,42584,,54,1,Female,2,-1,No Proxy,Full-Time Worker,-1.0,-1.0,237.22,-1,-1,Not a Student,0,,,,3.91,12.82,218242,980,Paid Full-Time Worker,2006
8918,42595,,28,1,Male,1,-1,,Non-Working Adult Age <65,-1.0,-1.0,409.95,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8919,42595,,43,1,Female,2,-1,No Proxy,Full-Time Worker,-1.0,-1.0,409.95,-1,-1,Not a Student,0,,,,6.26,23.71,175226,1615,Paid Full-Time Worker,2006
8920,42595,,1,1,Female,3,-1,No Proxy,Child Age 0-4,-1.0,-1.0,409.95,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8921,42596,,67,1,Female,1,-1,,Non-Working Adult Age 65+,-1.0,-1.0,194.75,-1,-1,Not a Student,1,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8922,42596,,72,1,Male,2,-1,,Non-Working Adult Age 65+,-1.0,-1.0,194.75,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8923,42628,,66,1,Female,1,-1,,Non-Working Adult Age 65+,-1.0,-1.0,221.37,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8924,42628,,69,1,Male,2,-1,No Proxy,Non-Working Adult Age 65+,-1.0,-1.0,221.37,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8925,42632,,44,1,Female,1,-1,,Full-Time Worker,-1.0,-1.0,309.75,-1,-1,Not a Student,1,Between 6:30 and 7 am,None 4+ Days/Week,Shared Ride 3+,10.16,33.26,59032,522,Paid Full-Time Worker,2006
8926,42632,,52,1,Female,2,-1,,Full-Time Worker,-1.0,-1.0,309.75,-1,-1,Not a Student,0,,,Drive Alone,5.9,19.24,365879,758,Paid Full-Time Worker,2006
8927,42638,,35,1,Female,1,-1,,Part-Time Worker,-1.0,-1.0,325.7,-1,-1,Not a Student,0,None 4+ Days/Week,None 4+ Days/Week,None 4+ Days/Week,19.01,56.08,148565,406,Paid Part-Time Worker,2006
8928,42638,,34,1,Male,2,-1,No Proxy,Full-Time Worker,-1.0,-1.0,325.7,-1,-1,Not a Student,0,,,,17.86,54.41,74320,305,Paid Full-Time Worker,2006
8929,42638,,4,1,Male,3,-1,No Proxy,Child Age 0-4,3.0,11.63,325.7,1015624,2609,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8930,42638,,2,1,Female,4,-1,No Proxy,Child Age 0-4,-1.0,-1.0,325.7,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8931,42638,,1,1,Female,5,-1,No Proxy,Child Age 0-4,-1.0,-1.0,325.7,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8932,42661,,65,1,Female,1,-1,,Non-Working Adult Age 65+,-1.0,-1.0,246.96,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8933,42662,,43,1,Male,1,-1,Proxy,Full-Time Worker,-1.0,-1.0,371.18,-1,-1,Not a Student,0,,,,8.95,25.85,380155,873,Paid Full-Time Worker,2006
8934,42662,,35,1,Female,2,-1,,Full-Time Worker,-1.0,-1.0,371.18,-1,-1,Not a Student,0,Between 7:30 and 8 am,None 4+ Days/Week,Drive Alone,9.81,26.13,439007,1357,Paid Full-Time Worker,2006
8935,42662,,10,1,Male,3,-1,No Proxy,Child Age 5-15,3.29,14.15,371.18,374853,938,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8936,42662,,6,1,Female,4,-1,No Proxy,Child Age 5-15,3.29,14.15,371.18,374853,938,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8937,42667,,50,1,Female,1,-1,,Part-Time Worker,-1.0,-1.0,274.32,-1,-1,Not a Student,0,,,None 4+ Days/Week,13.69,45.16,148106,573,Paid Part-Time Worker,2006
8938,42667,,50,1,Male,2,-1,,Full-Time Worker,-1.0,-1.0,274.32,-1,-1,Not a Student,0,Between 8 and 8:30 am,Between 5:30 and 6 pm,Drive Alone,1.97,15.27,72426,1758,Paid Full-Time Worker,2006
8939,42667,,15,1,Female,3,-1,Proxy,Child Age 5-15,3.74,18.94,274.32,117802,1869,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8940,42696,,59,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,453.85,-1,-1,Not a Student,0,Between 7:30 and 8 am,None 4+ Days/Week,Drive Alone,-1.0,-1.0,-1,-1,Paid Full-Time Worker,2006
8941,42699,,35,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,418.39,-1,-1,Not a Student,0,Between 8:30 and 9 am,None 4+ Days/Week,Drive Alone,21.91,51.93,147610,321,Paid Full-Time Worker,2006
8942,42699,,37,1,Female,2,-1,,Full-Time Worker,-1.0,-1.0,418.39,-1,-1,Not a Student,0,None 4+ Days/Week,None 4+ Days/Week,Drive Alone,21.44,54.13,175226,1615,Paid Full-Time Worker,2006
8943,42699,,2,1,Female,3,-1,Proxy,Child Age 0-4,-1.0,-1.0,418.39,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8944,42699,,0,1,Female,4,-1,Proxy,Child Age 0-4,-1.0,-1.0,418.39,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8945,42718,,62,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,347.98,-1,-1,Not a Student,0,,,Drive Alone,3.77,13.85,65151,1793,Paid Full-Time Worker,2006
8946,42718,,999,1,Female,2,-1,No Proxy,Full-Time Worker,-1.0,-1.0,347.98,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Paid Full-Time Worker,2006
8947,42719,,20,1,Female,1,-1,,University Student,9.6,26.5,327.99,115790,1062,Full-Time Student,0,,,Drive Alone,5.68,17.42,185580,1330,Paid Part-Time Worker,2006
8948,42719,,56,1,Female,2,-1,No Proxy,Full-Time Worker,-1.0,-1.0,327.99,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Paid Full-Time Worker,2006
8949,42719,,55,1,Male,3,-1,No Proxy,Full-Time Worker,-1.0,-1.0,327.99,-1,-1,Not a Student,0,,,,23.9,50.96,363923,1494,Paid Full-Time Worker,2006
8950,42719,,21,1,Female,4,-1,No Proxy,Non-Working Adult Age <65,-1.0,-1.0,327.99,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8951,42723,,61,1,Female,1,-1,,Full-Time Worker,-1.0,-1.0,370.96,-1,-1,Not a Student,0,Between 8 and 8:30 am,Between 4:30 and 5 pm,Drive Alone,9.35,22.97,54709,969,Paid Full-Time Worker,2006
8952,42727,,58,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,277.69,-1,-1,Not a Student,0,Before 6 am,Before 3:30 pm,None 4+ Days/Week,19.49,49.17,207,873,Paid Full-Time Worker,2006
8953,42727,,48,1,Female,2,-1,No Proxy,Full-Time Worker,-1.0,-1.0,277.69,-1,-1,Not a Student,1,,,,12.69,40.14,386303,552,Paid Full-Time Worker,2006
8954,42727,,17,1,Female,3,-1,,High School Student Age 16+,3.25,16.92,277.69,117802,1869,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8955,42731,,57,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,304.73,-1,-1,Not a Student,1,,,,14.29,45.74,59076,543,Paid Full-Time Worker,2006
8956,42731,,49,1,Female,2,-1,,Full-Time Worker,-1.0,-1.0,304.73,-1,-1,Not a Student,1,,,,13.35,41.28,41280,491,Paid Full-Time Worker,2006
8957,42737,,82,1,Male,1,-1,,Non-Working Adult Age 65+,-1.0,-1.0,285.25,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8958,42737,,78,1,Female,2,-1,,Non-Working Adult Age 65+,-1.0,-1.0,285.25,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8959,42737,,52,1,Male,3,-1,,Full-Time Worker,-1.0,-1.0,285.25,-1,-1,Part-Time Student,1,,,None 4+ Days/Week,12.71,35.18,463499,449,Paid Full-Time Worker,2006
8960,42749,,35,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,369.7,-1,-1,Not a Student,0,Between 7:30 and 8 am,Between 5:30 and 6 pm,Drive Alone,24.21,60.41,147890,480,Paid Full-Time Worker,2006
8961,42749,,37,1,Female,2,-1,No Proxy,Non-Working Adult Age <65,-1.0,-1.0,369.7,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8962,42749,,12,1,Female,3,-1,No Proxy,Child Age 5-15,9.22,24.84,369.7,438183,1368,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8963,42749,,1,1,Female,4,-1,No Proxy,Child Age 0-4,-1.0,-1.0,369.7,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8964,42788,,53,1,Male,1,-1,Proxy,Full-Time Worker,-1.0,-1.0,347.98,-1,-1,Not a Student,0,,,,16.07,32.39,78515,1177,Paid Full-Time Worker,2006
8965,42788,,50,1,Female,2,-1,,Full-Time Worker,-1.0,-1.0,347.98,-1,-1,Not a Student,0,Between 8:30 and 9 am,Before 3:30 pm,Drive Alone,18.6,54.08,152215,989,Paid Full-Time Worker,2006
8966,42800,,44,1,Female,1,-1,,Part-Time Worker,-1.0,-1.0,275.86,-1,-1,Not a Student,0,,,Drive Alone,11.34,35.62,138,1196,Paid Part-Time Worker,2006
8967,42800,,54,1,Male,2,-1,No Proxy,Full-Time Worker,-1.0,-1.0,275.86,-1,-1,Not a Student,0,,,,12.2,36.01,179627,1167,Paid Full-Time Worker,2006
8968,42815,,52,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,244.69,-1,-1,Not a Student,0,Between 7 and 7:30 am,Between 4 and 4:30 pm,Drive Alone,2.93,10.4,190178,2007,Paid Full-Time Worker,2006
8969,42827,,76,1,Female,1,-1,,Non-Working Adult Age 65+,-1.0,-1.0,138.2,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8970,42836,,64,1,Female,1,-1,,Non-Working Adult Age <65,-1.0,-1.0,699.73,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8971,42836,,34,1,Female,2,-1,,Full-Time Worker,-1.0,-1.0,699.73,-1,-1,Not a Student,0,,,,11.42,30.24,765220,2905,Paid Full-Time Worker,2006
8972,42836,,4,1,Female,3,-1,,Child Age 0-4,4.4,17.96,699.73,489513,1125,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8973,42838,,40,1,Female,1,-1,,Non-Working Adult Age <65,-1.0,-1.0,343.67,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8974,42838,,41,1,Male,2,-1,No Proxy,Full-Time Worker,-1.0,-1.0,343.67,-1,-1,Not a Student,0,,,,21.33,58.55,175226,1615,Paid Full-Time Worker,2006
8975,42838,,1,1,Female,3,-1,No Proxy,Child Age 0-4,-1.0,-1.0,343.67,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8976,42840,,57,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,386.63,-1,-1,Not a Student,0,,,,4.97,21.68,41478,1534,Paid Full-Time Worker,2006
8977,42840,,56,1,Female,2,-1,,Non-Working Adult Age <65,-1.0,-1.0,386.63,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8978,42849,,41,1,Female,1,-1,,Part-Time Worker,-1.0,-1.0,318.43,-1,-1,Not a Student,0,,,Drive Alone,-1.0,-1.0,-1,-1,Paid Part-Time Worker,2006
8979,42849,,44,1,Male,2,-1,No Proxy,Full-Time Worker,-1.0,-1.0,318.43,-1,-1,Not a Student,0,,,,6.33,19.96,159078,1445,Paid Full-Time Worker,2006
8980,42849,,9,1,Male,3,-1,No Proxy,Child Age 5-15,1.57,6.14,318.43,219123,1936,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8981,42849,,5,1,Male,4,-1,No Proxy,Child Age 5-15,1.57,6.14,318.43,219123,1936,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8982,42852,,39,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,422.16,-1,-1,Not a Student,1,Between 7:30 and 8 am,Between 4:30 and 5 pm,None 4+ Days/Week,21.38,53.21,59019,529,Paid Full-Time Worker,2006
8983,42852,,38,1,Female,2,-1,,Non-Working Adult Age <65,-1.0,-1.0,422.16,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8984,42852,,7,1,Female,3,-1,Proxy,Child Age 5-15,1.36,5.22,422.16,226806,1223,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8985,42852,,3,1,Male,4,-1,Proxy,Child Age 0-4,-1.0,-1.0,422.16,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8986,42858,,63,1,Female,1,-1,,Non-Working Adult Age <65,-1.0,-1.0,291.79,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8987,42858,,63,1,Male,2,-1,No Proxy,Full-Time Worker,-1.0,-1.0,291.79,-1,-1,Not a Student,0,,,,8.19,31.34,522937,974,Paid Full-Time Worker,2006
8988,42858,,36,1,Female,3,-1,No Proxy,Non-Working Adult Age <65,-1.0,-1.0,291.79,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8989,42858,,7,1,Female,4,-1,No Proxy,Child Age 5-15,0.78,5.12,291.79,278699,1327,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8990,42858,,4,1,Male,5,-1,No Proxy,Child Age 0-4,8.02,26.39,291.79,122726,1265,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8991,42862,,47,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,383.18,-1,-1,Not a Student,0,,,,5.58,24.75,147760,511,Paid Full-Time Worker,2006
8992,42862,,33,1,Female,2,-1,,Full-Time Worker,-1.0,-1.0,383.18,-1,-1,Not a Student,0,,,,6.78,22.16,464167,704,Paid Full-Time Worker,2006
8993,42866,,63,1,Female,1,-1,,Non-Working Adult Age <65,-1.0,-1.0,178.71,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8994,42866,,69,1,Male,2,-1,No Proxy,Non-Working Adult Age 65+,-1.0,-1.0,178.71,-1,-1,Not a Student,1,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8995,42873,,51,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,297.87,-1,-1,Not a Student,0,Between 6:30 and 7 am,Between 4 and 4:30 pm,Drive Alone,15.38,37.29,234143,403,Paid Full-Time Worker,2006
8996,42873,,51,1,Female,2,-1,No Proxy,Non-Working Adult Age <65,-1.0,-1.0,297.87,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8997,42886,,58,1,Female,1,-1,,Non-Working Adult Age <65,-1.0,-1.0,160.02,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8998,42896,,72,1,Male,1,-1,,Non-Working Adult Age 65+,-1.0,-1.0,307.94,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
8999,42896,,68,1,Female,2,-1,No Proxy,Non-Working Adult Age 65+,-1.0,-1.0,307.94,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
9000,42897,,67,1,Male,1,-1,,Part-Time Worker,-1.0,-1.0,248.48,-1,-1,Not a Student,0,,,Drive Alone,-1.0,-1.0,-1,-1,Paid Part-Time Worker,2006
9001,42897,,63,1,Female,2,-1,,Non-Working Adult Age <65,-1.0,-1.0,248.48,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
9002,42901,,78,1,Female,1,-1,,Non-Working Adult Age 65+,-1.0,-1.0,170.55,-1,-1,Not a Student,1,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
9003,42901,,82,1,Male,2,-1,No Proxy,Non-Working Adult Age 65+,-1.0,-1.0,170.55,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
9004,42910,,41,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,283.12,-1,-1,Not a Student,1,,,,9.86,27.15,361135,631,Paid Full-Time Worker,2006
9005,42910,,38,1,Female,2,-1,,Non-Working Adult Age <65,-1.0,-1.0,283.12,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
9006,42910,,9,1,Female,3,-1,,Child Age 5-15,4.3,13.51,283.12,22511,1527,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
9007,42913,,56,1,Female,1,-1,,Part-Time Worker,-1.0,-1.0,379.95,-1,-1,Not a Student,0,,,,0.75,4.92,90512,1452,Paid Part-Time Worker,2006
9008,42913,,59,1,Male,2,-1,,Full-Time Worker,-1.0,-1.0,379.95,-1,-1,Not a Student,0,,,,27.42,54.54,1133364,2624,Paid Full-Time Worker,2006
9009,42913,,11,1,Female,3,-1,,Child Age 5-15,0.75,4.92,379.95,90512,1452,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
9010,42921,,47,1,Female,1,-1,,Full-Time Worker,-1.0,-1.0,421.49,-1,-1,Not a Student,0,Between 8 and 8:30 am,Between 4:30 and 5 pm,Drive Alone,3.45,14.44,180844,967,Paid Full-Time Worker,2006
9011,42946,,63,1,Female,1,-1,,Full-Time Worker,-1.0,-1.0,304.52,-1,-1,Not a Student,0,None 4+ Days/Week,None 4+ Days/Week,Drive Alone,21.9,62.64,484368,296,Paid Full-Time Worker,2006
9012,42949,,52,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,300.98,-1,-1,Not a Student,0,Before 6 am,Before 3:30 pm,Drive Alone,20.29,46.44,424769,808,Paid Full-Time Worker,2006
9013,42949,,49,1,Female,2,-1,No Proxy,Non-Working Adult Age <65,-1.0,-1.0,300.98,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
9014,42951,,74,1,Female,1,-1,,Non-Working Adult Age 65+,-1.0,-1.0,320.41,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
9015,42953,,60,1,Female,1,-1,,Non-Working Adult Age <65,-1.0,-1.0,375.34,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
9016,42953,,60,1,Male,2,-1,No Proxy,Non-Working Adult Age <65,-1.0,-1.0,375.34,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
9017,42953,,85,1,Female,3,-1,No Proxy,Non-Working Adult Age 65+,-1.0,-1.0,375.34,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
9018,42954,,68,1,Male,1,-1,,Part-Time Worker,-1.0,-1.0,317.18,-1,-1,Not a Student,0,,,Drive Alone,8.66,28.85,227706,1340,Paid Part-Time Worker,2006
9019,42954,,65,1,Female,2,-1,No Proxy,Full-Time Worker,-1.0,-1.0,317.18,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Paid Full-Time Worker,2006
9020,42954,,43,1,Male,3,-1,No Proxy,Full-Time Worker,-1.0,-1.0,317.18,-1,-1,Not a Student,0,,,,12.54,39.89,310739,1006,Paid Full-Time Worker,2006
9021,42954,,83,1,Female,4,-1,No Proxy,Non-Working Adult Age 65+,-1.0,-1.0,317.18,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
9022,42996,,59,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,340.84,-1,-1,Not a Student,0,,,,17.09,45.12,134569,702,Paid Full-Time Worker,2006
9023,42996,,59,1,Female,2,-1,,Full-Time Worker,-1.0,-1.0,340.84,-1,-1,Not a Student,0,,,,1.09,9.32,45755,1847,Paid Full-Time Worker,2006
9024,42996,,23,1,Male,3,-1,,Part-Time Worker,2.41,13.79,340.84,90889,1881,Part-Time Student,0,,,,1.02,8.56,45698,1849,Paid Part-Time Worker,2006
9025,43009,,72,1,Female,1,-1,,Non-Working Adult Age 65+,-1.0,-1.0,168.48,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
9026,43009,,77,1,Male,2,-1,No Proxy,Non-Working Adult Age 65+,-1.0,-1.0,168.48,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
9027,43017,,68,1,Male,1,-1,,Non-Working Adult Age 65+,-1.0,-1.0,219.45,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
9028,43034,,80,1,Male,1,-1,,Non-Working Adult Age 65+,-1.0,-1.0,196.78,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
9029,43034,,71,1,Female,2,-1,No Proxy,Non-Working Adult Age 65+,-1.0,-1.0,196.78,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
9030,43048,,30,1,Female,1,-1,,University Student,6.8,21.09,410.63,246356,585,Full-Time Student,0,After 9 am,Before 3:30 pm,Drive Alone,7.7,24.37,195564,479,Paid Part-Time Worker,2006
9031,43048,,54,1,Female,2,-1,,Full-Time Worker,-1.0,-1.0,410.63,-1,-1,Not a Student,0,Between 8:30 and 9 am,Between 5 and 5:30 pm,Drive Alone,2.6,9.47,366002,1483,Paid Full-Time Worker,2006
9032,43048,,83,1,Female,3,-1,No Proxy,Non-Working Adult Age 65+,-1.0,-1.0,410.63,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
9033,43048,,6,1,Male,4,-1,No Proxy,Child Age 5-15,2.13,9.32,410.63,142466,1484,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
9034,43081,,78,1,Female,1,-1,,Non-Working Adult Age 65+,-1.0,-1.0,345.01,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
9035,43088,,55,1,Female,1,-1,,Part-Time Worker,-1.0,-1.0,889.14,-1,-1,Not a Student,0,None 4+ Days/Week,None 4+ Days/Week,None 4+ Days/Week,4.07,16.03,257522,1558,Paid Part-Time Worker,2006
9036,43088,,55,1,Male,2,-1,No Proxy,Full-Time Worker,-1.0,-1.0,889.14,-1,-1,Not a Student,0,,,,30.88,54.17,1057097,2282,Paid Full-Time Worker,2006
9037,43088,,30,1,Male,3,-1,No Proxy,Full-Time Worker,-1.0,-1.0,889.14,-1,-1,Not a Student,0,,,,25.24,54.0,78508,1193,Paid Full-Time Worker,2006
9038,43088,,21,1,Female,4,-1,No Proxy,University Student,-1.0,-1.0,889.14,-1,-1,Full-Time Student,1,,,,1.89,9.87,407148,1612,Paid Part-Time Worker,2006
9039,43088,,17,1,Male,5,-1,No Proxy,High School Student Age 16+,-1.0,-1.0,889.14,-1,-1,Not a Student,0,,,,5.77,23.33,41554,1539,Paid Part-Time Worker,2006
9040,43100,,55,1,Male,1,-1,Proxy,Full-Time Worker,-1.0,-1.0,329.95,-1,-1,Not a Student,0,,,,9.98,32.3,463717,707,Paid Full-Time Worker,2006
9041,43100,,51,1,Female,2,-1,,Part-Time Worker,-1.0,-1.0,329.95,-1,-1,Not a Student,0,After 9 am,Between 6 and 6:30 pm,Drive Alone,-1.0,-1.0,-1,-1,Paid Part-Time Worker,2006
9042,43100,,11,1,Male,3,-1,Proxy,Child Age 5-15,-1.0,-1.0,329.95,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
